"","x"
"2","0.0261"
"3","0.048"
"4","0.0147"
"5","0.0207"
"6","0.0344"
"7","0.0221"
"8","0.0875"
"9","0.6168"
"10","0.6174"
"11","0.6402"
"12","0.745"
"13","0.7167"
"14","0.7219"
"15","0.7289"
"16","0.711"
"17","0.6913"
"18","0.7002"
"19",NA
"20","0.0551"
"21",NA
"22",NA
"23","0.0378"
"24",NA
"25",NA
"26","0.0244"
"27","0.0264"
"28","0.0232"
"29","0.019"
"30","-0.0029"
"31","0.0175"
"32","0.5875"
"33","0.5947"
"34","0.6466"
"35","0.7106"
"36","0.7346"
"37","0.7402"
"38","0.7263"
"39","0.6926"
"40","0.7171"
"41","0.6822"
"42","0.6281"
"43","0.0565"
"44","0.0765"
"45","0.0479"
"46","0.0358"
"47","0.0256"
"48","0.0095"
"49","0.0347"
"50","0.0312"
"51","0.0168"
"52","0.0292"
"53","-0.0163"
"54","-0.0138"
"55","0.5746"
"56","0.6775"
"57","0.6764"
"58","0.7011"
"59","0.6693"
"60","0.6868"
"61","0.6651"
"62","0.6825"
"63","0.6664"
"64","0.6627"
"65","0.6318"
"66",NA
"67","0.0605"
"68","0.0546"
"69","0.0144"
"70","0.0146"
"71","0.0013"
"72",NA
"73","0.0211"
"74","0.0225"
"75","-0.0245"
"76","0.0503"
"77","0.5226"
"78","0.5738"
"79","0.6091"
"80","0.643"
"81","0.6386"
"82","0.7204"
"83","0.6908"
"84","0.7042"
"85","0.6835"
"86","0.6519"
"87","0.6373"
"88",NA
"89","0.0262"
"90","0.5041"
"91","0.0632"
"92","0.0524"
"93","0.0138"
"94",NA
"95","0.0202"
"96","0.0252"
"97","0.0334"
"98","0.0177"
"99","-0.0125"
"100","0.5794"
"101","0.5692"
"102","0.6166"
"103","0.6352"
"104","0.6664"
"105","0.6622"
"106","0.7095"
"107","0.6881"
"108","0.7318"
"109","0.6983"
"110","0.6604"
"111","0.6192"
"112","0.1209"
"113","0.1208"
"114",NA
"115","0.0573"
"116","0.0197"
"117",NA
"118","0.0206"
"119","0.0176"
"120","0.028"
"121","0"
"122","-0.0362"
"123","0.032"
"124","0.5222"
"125","0.5548"
"126","0.6145"
"127","0.6961"
"128","0.7281"
"129","0.8343"
"130","0.711"
"131","0.7177"
"132","0.7057"
"133","0.658"
"134","0.6408"
"135","0.0682"
"136",NA
"137",NA
"138",NA
"139",NA
"140","0.0452"
"141","0.0171"
"142","0.0156"
"143","0.0067"
"144","0.0105"
"145","0.0156"
"146","0.3429"
"147","0.5694"
"148","0.4941"
"149","0.6763"
"150","0.6831"
"151","0.6982"
"152","0.6966"
"153","0.7274"
"154","0.7044"
"155","0.7048"
"156","0.6052"
"157","0.6295"
"158","0.5697"
"159","0.612"
"160","-0.0797"
"161","0.0448"
"162","0.0142"
"163","-0.0043"
"164","0.0085"
"165","-0.0132"
"166","-0.0058"
"167","0.0221"
"168","0.5471"
"169","0.564"
"170","0.5799"
"171","0.5798"
"172","0.5796"
"173","0.615"
"174","0.6844"
"175","0.6731"
"176","0.6157"
"177","0.7067"
"178","0.7007"
"179","0.6549"
"180","0.7542"
"181","0.5262"
"182","0.0774"
"183",NA
"184","0.0077"
"185","-0.0017"
