"","x"
"1",0.4013
"2",0.4232
"3",NA
"4",0.0852
"5",0.3237
"6",0.3591
"7",0.4033
"8",0.7292
"9",0.7273
"10",0.893
"11",0.8563
"12",0.8922
"13",0.8711
"14",0.8554
"15",0.831
"16",0.7062
"17",0.5917
"18",0.4414
"19",0.412
"20",0.4933
"21",0.2361
"22",0.2338
"23",0.1322
"24",NA
"25",0.0952
"26",NA
"27",0.0856
"28",0.1229
"29",0.3856
"30",0.4101
"31",0.4098
"32",0.5464
"33",0.8605
"34",0.87
"35",0.9187
"36",0.902
"37",0.8864
"38",0.8879
"39",0.8152
"40",0.4611
"41",0.303
"42",0.3547
"43",0.3601
"44",0.2095
"45",0.135
"46",0.1416
"47",NA
"48",0.3671
"49",0.0999
"50",0.1137
"51",0.0895
"52",0.3823
"53",0.3914
"54",0.5546
"55",0.7873
"56",0.8831
"57",0.9027
"58",0.9076
"59",0.8941
"60",0.8822
"61",0.8365
"62",0.6661
"63",0.46
"64",0.416
"65",0.4218
"66",0.3462
"67",0.2585
"68",0.277
"69",0.1163
"70",0.367
"71",0.3201
"72",0.2652
"73",0.1041
"74",0.0761
"75",0.3929
"76",0.37
"77",0.8205
"78",0.8904
"79",0.9064
"80",0.8937
"81",0.8912
"82",0.8962
"83",0.8431
"84",0.8195
"85",0.6757
"86",0.4351
"87",0.4176
"88",0.2118
"89",0.3928
"90",0.1732
"91",0.2409
"92",0.212
"93",NA
"94",0.3064
"95",NA
"96",0.0689
"97",0.0761
"98",0.0652
"99",0.4798
"100",0.6496
"101",0.8783
"102",0.8581
"103",0.8807
"104",0.8695
"105",0.867
"106",0.8549
"107",0.8069
"108",0.7341
"109",0.4496
"110",0.4185
"111",0.4157
"112",0.0912
"113",0.101
"114",0.1038
"115",0.0552
"116",0.114
"117",NA
"118",0.0818
"119",0.0645
"120",0.0493
"121",0.043
"122",0.3375
"123",0.5194
"124",0.7892
"125",0.8893
"126",0.9025
"127",0.8867
"128",0.857
"129",0.8713
"130",0.8424
"131",0.7774
"132",0.5661
"133",0.4193
"134",0.3882
"135",0.3929
"136",0.1497
"137",0.1248
"138",0.1576
