"","x"
"1",0.4294
"2",0.2808
"3",0.3731
"4",0.1973
"5",0.366
"6",0.5464
"7",0.5705
"8",0.5712
"9",0.54
"10",0.6386
"11",0.6445
"12",0.5791
"13",0.6129
"14",0.6315
"15",0.6115
"16",0.638
"17",0.6309
"18",0.6597
"19",0.7109
"20",0.6972
"21",0.5401
"22",0.4812
"23",0.4088
"24",0.4763
"25",0.2867
"26",0.4839
"27",0.5422
"28",0.1951
"29",0.4725
"30",0.6081
"31",0.5954
"32",0.5304
"33",0.6668
"34",0.5722
"35",0.7492
"36",0.6032
"37",0.5821
"38",0.2958
"39",0.6887
"40",0.7075
"41",0.7659
"42",0.7463
"43",0.7238
"44",0.4208
"45",0.3688
"46",0.4038
"47",0.4654
"48",0.5181
"49",0.6236
"50",0.2161
"51",0.2063
"52",0.5943
"53",0.5377
"54",0.5166
"55",0.4801
"56",0.5688
"57",0.6692
"58",0.6827
"59",0.6394
"60",0.6329
"61",0.6487
"62",0.6474
"63",0.6019
"64",0.6616
"65",0.658
"66",0.763
"67",0.4535
"68",0.4204
"69",0.4057
"70",0.918
"71",0.437
"72",0.7049
"73",0.2603
"74",0.1965
"75",0.5423
"76",0.5916
"77",0.5651
"78",0.5471
"79",0.7263
"80",0.5888
"81",0.6557
"82",0.6691
"83",0.6104
"84",0.6397
"85",0.7144
"86",0.6551
"87",0.6594
"88",NA
"89",0.7401
"90",0.4738
"91",0.5
"92",0.5
"93",0.754
"94",0.4266
"95",0.794
"96",0.2348
"97",0.1876
"98",0.1605
"99",0.5542
"100",0.5703
"101",0.565
"102",0.6495
"103",0.5647
"104",0.6136
"105",0.628
"106",0.65
"107",0.6604
"108",0.7155
"109",0.742
"110",0.6819
"111",0.214
"112",0.1526
"113",0.2298
"114",0.1328
"115",0.2787
"116",0.3136
"117",0.2541
"118",0.6374
"119",0.2766
"120",0.2123
"121",0.1776
"122",0.5308
"123",0.598
"124",0.5273
"125",0.6571
"126",0.6329
"127",0.4573
"128",0.7033
"129",0.6368
"130",0.6527
"131",0.589
"132",0.6596
"133",0.7401
"134",NA
"135",0.5705
"136",0.4661
"137",0.3445
"138",0.2999
