"","x"
"1",0.4408
"2",0.2759
"3",0.3136
"4",0.8891
"5",0.3641
"6",0.7184
"7",0.671
"8",0.6475
"9",0.628
"10",0.7123
"11",0.7847
"12",0.756
"13",0.763
"14",0.7508
"15",0.7681
"16",0.6902
"17",0.6986
"18",0.7331
"19",0.706
"20",0.7489
"21",0.4205
"22",0.4647
"23",0.2896
"24",0.946
"25",0.2504
"26",0.2122
"27",0.1551
"28",0.2423
"29",0.5692
"30",0.6586
"31",0.6542
"32",0.7178
"33",0.6612
"34",0.7055
"35",0.7588
"36",0.7281
"37",0.7781
"38",0.7861
"39",0.7074
"40",0.6986
"41",0.7025
"42",0.6842
"43",0.7172
"44",0.319
"45",0.1898
"46",0.251
"47",0.735
"48",0.8033
"49",0.3308
"50",0.6607
"51",0.1503
"52",0.6729
"53",0.6241
"54",0.6496
"55",0.8747
"56",0.6968
"57",0.735
"58",0.7844
"59",0.7855
"60",0.7678
"61",0.7358
"62",0.7027
"63",0.6805
"64",0.6902
"65",0.6326
"66",0.5514
"67",0.3203
"68",NA
"69",0.139
"70",0.4139
"71",0.4925
"72",0.6599
"73",0.1697
"74",0.5804
"75",0.6332
"76",0.6523
"77",0.6309
"78",0.7137
"79",0.7686
"80",0.7587
"81",0.7704
"82",0.7711
"83",0.7575
"84",0.7303
"85",0.5483
"86",0.6786
"87",0.6695
"88",0.3185
"89",0.7367
"90",0.3367
"91",0.4336
"92",0.3653
"93",0.3274
"94",0.3467
"95",NA
"96",0.2163
"97",0.2348
"98",0.1754
"99",0.6444
"100",0.6405
"101",0.6748
"102",0.6887
"103",0.6906
"104",0.7821
"105",0.763
"106",0.7982
"107",0.7589
"108",0.7553
"109",0.6737
"110",0.7006
"111",0.2283
"112",0.0875
"113",0.167
"114",0.0779
"115",0.1918
"116",0.2102
"117",0.1551
"118",0.2693
"119",0.4747
"120",0.1517
"121",0.4244
"122",0.5762
"123",0.6433
"124",0.6467
"125",0.6289
"126",0.72
"127",0.7513
"128",0.7364
"129",0.7684
"130",0.7164
"131",0.6974
"132",0.6457
"133",0.7377
"134",0.5358
"135",0.4913
"136",0.2494
"137",0.222
"138",0.2134
