"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",-0.576671061831638
"9",-0.944479076023548
"10",-1.22679513153324
"11",-1.80469153808742
"12",-1.76900778229333
"13",-0.850680970132516
"14",-0.937587254335106
"15",-1.21971243481563
"16",-0.173133335687943
"17",-0.583502839827128
"18",-0.45436340319016
"19",0.367585480532447
"20",0.251104015675266
"21",0.243267633748141
"22",0.131804490280802
"23",0.0797967530341103
"24",0.0904425549932706
"25",0.0813170036158254
"26",0.120515262749409
"27",0.0769981966190121
"28",0.163766181414079
"29",0.213239269174202
"30",-0.294313070712766
"31",-0.589723896567819
"32",-0.965120871204941
"33",-1.31458766884635
"34",-1.30293935275266
"35",-1.29122893606383
"36",-1.19201617339218
"37",-0.681284851772086
"38",-0.633543387294262
"39",-0.523007295197734
"40",-0.948884342765957
"41",-0.34399148028099
"42",-0.018272792627039
"43",0.348931908114148
"44",0.264454754547872
"45",0.176234337559455
"46",0.133923609830827
"47",0.136721415320766
"48",0.0785002573933389
"49",0.0788194079142839
"50",0.064483251742894
"51",0.133520534717288
"52",0.271786992477394
"53",-0.8600948278125
"54",-1.86797238277459
"55",-2.19478818044326
"56",-2.0238593299956
"57",-1.44627731970089
"58",-1.23094009182643
"59",0.156917545908624
"60",-0.980220694172768
"61",-0.739665320874704
"62",-0.336688285261622
"63",-0.437830718164866
"64",-0.587946121891683
"65",0.0799457414161432
"66",0.216297288935484
"67",0.153986935317287
"68",0.134080556394105
"69",0.0944245758994726
