"","x"
"1",0.6822
"2",0.3792
"3",0.7304
"4",0.6741
"5",0.3127
"6",0.5811
"7",0.6734
"8",0.673
"9",0.6519
"10",0.7382
"11",0.7108
"12",0.7628
"13",0.7585
"14",0.757
"15",0.7048
"16",0.7267
"17",0.7666
"18",0.8132
"19",0.7836
"20",0.7652
"21",0.4394
"22",0.4158
"23",0.4542
"24",0.3938
"25",0.7214
"26",0.8979
"27",0.3804
"28",0.344
"29",0.6609
"30",0.6444
"31",0.6743
"32",0.5811
"33",0.7092
"34",0.7367
"35",0.7777
"36",0.7857
"37",0.7804
"38",0.7389
"39",0.7579
"40",0.767
"41",0.7708
"42",0.7478
"43",0.7589
"44",0.7007
"45",0.4576
"46",0.4942
"47",0.8442
"48",0.3403
"49",0.6102
"50",0.5384
"51",0.3413
"52",0.6488
"53",0.67
"54",0.6994
"55",0.668
"56",0.8567
"57",0.7483
"58",0.7695
"59",0.7717
"60",0.7448
"61",0.7471
"62",0.76
"63",0.7517
"64",0.7391
"65",0.6847
"66",0.931
"67",0.6554
"68",0.5672
"69",0.5672
