"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",NA
"17",NA
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",NA
"65",NA
"66",NA
"67",NA
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",NA
"75",NA
"76",NA
"77",NA
"78",NA
"79",NA
"80",NA
"81",NA
"82",NA
"83",NA
"84",NA
"85",NA
"86",NA
"87",NA
"88",NA
"89",NA
"90",NA
"91",NA
"92",NA
"93",NA
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",NA
"120",NA
"121",NA
"122",NA
"123",-2.11099016666667
"124",-0.387560909302326
"125",-0.190990707291667
"126",-0.196371528333333
"127",-0.376444549375
"128",-0.197668510020833
"129",-0.342771022708333
"130",-0.260232122916667
"131",-0.0786557919148936
"132",-0.753260613978723
"133",-0.551802174468085
"134",-0.429893043404255
"135",-0.755365663829787
"136",-0.134541952666667
"137",-0.860406173042553
"138",-1.01085699744681
"139",-0.854848177446809
"140",-1.46380579148936
"141",-1.94306223617021
"142",-1.88853183829787
"143",-1.64397851659574
"144",-2.1396531
"145",-2.07248261334043
"146",-0.551091212765957
"147",-1.86703101702128
"148",-1.50609681617021
"149",-1.84465864255319
"150",-0.570081270212766
"151",0.305011721276596
"152",0.543615861702128
"153",-1.79108563829787
"154",-1.72133144468085
"155",-1.27272675
"156",-1.48707482970213
"157",-1.98559725085106
"158",-1.13828415297872
"159",-0.0430322765957447
"160",-2.62677577234043
"161",-2.95721666595745
"162",-2.03961994829787
"163",0.0894612495744681
"164",0.084160329787234
"165",0.0833993638297872
"166",-1.67072872085106
"167",-3.51963537173913
"168",-2.21294571659574
"169",-2.3580042787234
"170",-2.37715213404255
"171",-1.11133104255319
"172",-1.79173363829787
"173",-1.97834111702128
"174",-2.46109240148936
"175",-2.20945088723404
"176",-2.44483362978723
"177",-2.45470612234043
"178",-2.511895
"179",-1.46283320489362
"180",-1.0648856
"181",-2.13036970478261
"182",-2.27277808723404
"183",-2.31472102978723
"184",0.200288742553192
"185",-0.769973765957447
"186",-2.85512054893617
"187",-1.77673169148936
"188",-1.98300253191489
"189",-1.26259560425532
"190",1.63395589782051
"191",-5.08011910526316
"192",-2.19863716021277
"193",-1.2009342512766
"194",1.16993740425532
"195",-1.37902744255319
"196",-0.331387353829787
"197",-1.51461557446809
"198",-2.27267652765957
"199",-0.525751095652174
"200",0.743431361489362
"201",-0.272099762
"202",2.07954572340426
"203",-0.513175744680851
"204",-2.76056447021277
"205",-2.82836504829787
"206",-1.50104734276596
"207",-0.881928180851064
"208",-1.62223721702128
"209",-1.64412302340426
"210",1.32979668085106
"211",-1.22205305106383
"212",-1.65511419148936
"213",-1.92014955744681
"214",-2.30555321617021
"215",-2.02529161702128
"216",-1.84441804255319
"217",-0.747650423404255
"218",-0.541952553191489
"219",0.0107030255319149
"220",-1.49777263829787
"221",2.205934
"222",0.236947759574468
"223",-2.05369288085106
"224",-1.32700634042553
"225",-2.23451970630435
"226",-1.96159695829787
"227",-2.66279303571429
"228",-1.04440307407407
"229",-2.11666533978723
"230",-1.86317185106383
"231",-0.837932893617021
"232",-0.384297170212766
"233",-1.1854621787234
"234",0.0124639356382979
"235",-1.572781
"236",0.684926336170213
"237",0.161393340425532
"238",-1.20611495106383
"239",-1.40889645106383
"240",-1.8955479593617
"241",-1.11998132978723
"242",-0.115057406595745
"243",0.0762851085106383
"244",-1.54101224422222
"245",1.54735844680851
"246",2.83190209148936
"247",-0.26645970212766
"248",-0.68306459787234
"249",-0.617858034444444
"250",-0.11520648212766
"251",-2.55003022489362
"252",-1.37816264255319
"253",1.33673519361702
"254",0.0814452
"255",-0.413873980851064
"256",0.156847234042553
"257",-0.915930658297872
"258",-1.41376365531915
"259",-0.905108406595745
"260",-1.27845194468085
"261",-0.341273293617021
"262",1.4715299787234
"263",0.842449495744681
"264",0.664265227659574
"265",-1.23507513191489
"266",-0.808354068085106
"267",-1.06021042765957
"268",-1.22798014255319
"269",-1.26050982978723
"270",-0.935745793617021
"271",-0.751943927659574
"272",-0.179942859574468
"273",-1.44736215085106
"274",0.476516253191489
"275",0.418702761702128
"276",-0.702045857446808
"277",0.0339833276595745
"278",-0.438416985106383
"279",-1.25494302914894
"280",-0.581824513617021
"281",-0.992922995106383
"282",-0.945191083191489
"283",-0.909126985957447
"284",-0.134358038297872
"285",-0.695042504255319
"286",-0.415169590893617
"287",-0.0911441129148936
"288",0.408531053191489
"289",0.088319414893617
"290",0.569884268297872
"291",0.360742938297872
"292",0.380504744680851
"293",0.318687755319149
"294",0.573642410638298
"295",0.474491778723404
"296",0.404983212765957
"297",0.31407700212766
"298",0.688304291489362
"299",0.279056610638298
"300",0.240036682424242
"301",0.265627467391304
"302",0.590512969767442
"303",0.20664018787234
"304",0.125855953191489
"305",-0.0895778506382979
"306",0.286261604255319
"307",0.280631254468085
"308",0.340826029148936
"309",0.341498276595745
"310",0.387310952978723
"311",0.303802371165957
"312",0.313708449021277
"313",0.174824330893617
"314",0.259055112765957
"315",0.376225534042553
"316",0.224271385531915
"317",0.192093584255319
"318",0.27565719
"319",0.0609235354680851
"320",0.290152490851064
"321",0.525243655319149
"322",0.261844748510638
"323",0.489910307106383
"324",0.206538582978723
"325",0.20662536
"326",0.309547566190476
"327",0.402255254545455
"328",0.201596759574468
"329",0.141117107340426
"330",0.135557243617021
"331",0.205347300851064
"332",0.196653869148936
"333",0.202649176191489
"334",0.150758950851064
"335",0.129711577021277
"336",0.126924680723684
"337",0.0408034427659575
"338",0.264108608510638
"339",0.164416466170213
"340",0.0680786136170213
"341",0.104571930399574
"342",0.17145551815
"343",0.0576447423404255
"344",0.0709287736382979
"345",0.113239734680851
"346",0.156036755319149
"347",0.170937370212766
"348",0.0984890666666667
"349",0.145801237659574
"350",0.0601361380851064
"351",0.0895445575531915
"352",0.332678888723404
"353",0.0852004570212766
"354",0.0698283725531915
"355",0.127145287234043
"356",0.0949252487234043
"357",0.0432489730952381
"358",0.115806715
"359",0.115108590846809
"360",0.0682972872340425
"361",0.0541926681
"362",0.0646012475
"363",0.0615443401191489
"364",0.0262207211652174
"365",0.111237880851064
"366",0.0826999870212766
"367",0.0857776368085106
"368",0.0918990805319149
"369",0.0921067868085106
"370",0.0754020778723404
"371",0.120213820217391
"372",0.190101715021277
"373",0.0928148974468085
"374",0.0471190896444444
"375",0.0701479644680851
"376",0.141943838692308
"377",0.0591871380851064
"378",0.107450494893617
"379",0.111664230638298
"380",0.0683666175319149
"381",0.0101855042105263
"382",0.0687221603333333
"383",-0.0367450012787234
"384",0.089375559787234
"385",0.144643289574468
"386",0.0559006936170213
"387",0.126250398510638
"388",0.0557613479191489
"389",0.0680860321276596
"390",0.12731741106383
"391",0.0671638785454546
"392",0.0754357563829787
"393",0.0721773110638298
"394",0.0829002629574468
"395",0.0531714504255319
"396",0.152907849148936
"397",0.0980036576744186
"398",0.201224471914894
"399",0.245806686808511
"400",0.187081699777778
"401",0.11636947212766
"402",0.152006972340426
"403",0.0645478265957447
"404",0.0651669409361702
"405",0.00393137061702128
"406",0.0414589953191489
"407",0.130702542978723
"408",0.158540193191489
"409",0.185063770829787
"410",0.116694879148936
"411",0.116215801914894
"412",0.073595575787234
"413",0.0698370037021277
"414",-0.174139151463415
"415",0.0947202093191489
"416",0.0528039474468085
"417",0.0546588650808511
"418",0.0926693981468085
"419",0.0492056006595745
"420",0.114698436914894
"421",0.0764811614893617
"422",0.124423975531915
"423",0.0840413901563617
"424",0.0727420113042553
"425",0.0712943085957447
"426",0.0173982017857143
"427",0.0915556632765957
"428",0.19366313787234
"429",0.215753989787234
"430",0.233078399787234
"431",0.241312486595745
"432",0.213207095744681
"433",0.0338835959574468
"434",0.319897049787234
"435",0.302984916774194
"436",0.211234626808511
"437",0.182284168723404
"438",0.228798527659574
"439",0.129121566170213
"440",0.0826820942978723
"441",0.0902040285106383
"442",0.0927253304255319
"443",0.0989945808510638
"444",0.0923151863829787
"445",0.0675352481489362
"446",0.0907792695744681
"447",0.0746175561702128
"448",0.135755599574468
"449",0.0790490961702128
"450",0.162839418276596
"451",0.0760067838297872
"452",0.209248929787234
"453",0.192361110638298
"454",0.212029641276596
"455",0.265969335319149
"456",0.237190029361702
"457",0.261678751914894
"458",0.434915891489362
"459",0.421981134042553
"460",0.261990778510638
"461",0.295414980851064
"462",0.559890766489362
"463",0.226857153191489
"464",0.092647006893617
"465",-0.274536642553191
"466",0.273031657021277
"467",-0.430598514893617
"468",0.125502570212766
"469",0.0138158643478261
"470",-0.0207260425531915
"471",0.136121395652174
"472",-0.742514591489362
"473",-0.59621219787234
"474",-1.13518238297872
"475",-0.820781877234043
"476",-0.996620665851064
"477",-1.11970262978723
"478",-1.13612407531915
"479",-1.10732288170213
"480",-1.44620532340426
"481",-1.50835613702128
"482",-0.467444057446809
"483",-0.064466406106383
"484",0.240448623851064
"485",0.353979880851064
